name,sale_price,speed,url
Tory Burch Robinson Smart Phone Wristlet,95,"",https://www.therealreal.com/products/women/handbags/clutches/tory-burch-robinson-smart-phone-wristlet-1
Louis Vuitton Epi Cannes Cosmetic Case,445,"",https://www.therealreal.com/products/women/accessories/cosmetic-bags/louis-vuitton-epi-cannes-cosmetic-case-9
Tory Burch Leather Wallet Crossbody Bag,230,"",https://www.therealreal.com/products/women/accessories/wallets/tory-burch-leather-wallet-crossbody-bag
Prada Madras Cerniera Doctor Bag,425,"",https://www.therealreal.com/products/women/handbags/handle-bags/prada-madras-cerniera-doctor-bag-39
Charlotte Olympia Pandora Classic Clutch,350,"",https://www.therealreal.com/products/women/handbags/clutches/charlotte-olympia-pandora-classic-clutch-4
Gerard Darel Distressed Leather Hobo,150,"",https://www.therealreal.com/products/women/handbags/hobos/gerard-darel-distressed-leather-hobo
Fendi Sequined Handle Bag,130,"",https://www.therealreal.com/products/women/handbags/mini-bags/fendi-sequined-handle-bag-3
Louis Vuitton Epi Passy GM,795,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-epi-passy-gm-35
Fendi Cut Out Leather Oyster Bag,200,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/fendi-cut-out-leather-oyster-bag
Céline Medium Python Trapeze Bag,1725,"",https://www.therealreal.com/products/women/handbags/satchels/celine-python-medium-trapeze-bag-14
Chanel Large E/W Tote,1495,"",https://www.therealreal.com/products/women/handbags/totes/chanel-large-e-slash-w-tote-7
Nancy Gonzalez Crocodile Knotted Hobo,825,"",https://www.therealreal.com/products/women/handbags/hobos/nancy-gonzalez-crocodile-knotted-hobo-5
Bottega Veneta Python Handle Bag,830,"",https://www.therealreal.com/products/women/handbags/handle-bags/bottega-veneta-python-handle-bag-7
Louis Vuitton Epi Noé Bag,625,"",https://www.therealreal.com/products/women/handbags/bucket-bags/louis-vuitton-epi-noe-bag-71
Yves Saint Laurent Nadja Leather Bag,230,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/yves-saint-laurent-nadja-leather-bag-2
Louis Vuitton Epi Jasmin Bag,600,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-epi-jasmin-bag-90
Céline Python Nano Luggage Tote,2200,"",https://www.therealreal.com/products/women/handbags/mini-bags/celine-python-nano-luggage-tote-9
Céline 2016 Medium Trifold Bag,2200,"",https://www.therealreal.com/products/women/handbags/totes/celine-2016-medium-trifold-bag
MCM Small Studded Stark Backpack,630,"",https://www.therealreal.com/products/women/handbags/backpacks/mcm-small-studded-stark-backpack
Chanel On the Road Tote,1395,"",https://www.therealreal.com/products/women/handbags/totes/chanel-on-the-road-tote-33
Bottega Veneta Brera Sfumato Bag,550,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/bottega-veneta-brera-sfumato-bag-4
Givenchy Medium Lucrezia Bag,995,"",https://www.therealreal.com/products/women/handbags/satchels/givenchy-medium-lucrezia-bag-5
Tod&#39;s Leather-Trimmed Woven Hobo,150,"",https://www.therealreal.com/products/women/handbags/hobos/tods-leather-trimmed-woven-hobo-1
Salvatore Ferragamo Fur Shoulder Bag,495,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/salvatore-ferragamo-fur-shoulder-bag-2
Judith Leiber Pleated Karung Crystal Embellished Clutch,230,"",https://www.therealreal.com/products/women/handbags/clutches/judith-leiber-pleated-karung-crystal-embellished-clutch
Fendi Leather & Suede Handle Bag,250,"",https://www.therealreal.com/products/women/handbags/handle-bags/fendi-leather-and-suede-handle-bag-1
Valentino Ponyhair & Leather Hobo,380,"",https://www.therealreal.com/products/women/handbags/hobos/valentino-ponyhair-and-leather-hobo
Fendi Selleria Tote Bag,650,"",https://www.therealreal.com/products/women/handbags/totes/fendi-selleria-tote-bag-3
Devi Kroell Large Snakeskin Tote,230,"",https://www.therealreal.com/products/women/handbags/totes/devi-kroell-large-snakeskin-tote-1
Bottega Veneta Intrecciato-Trimmed Handle Bag,500,"",https://www.therealreal.com/products/women/handbags/handle-bags/bottega-veneta-intrecciato-trimmed-handle-bag-23
Chanel Cerf Tote w/ Strap,1895,"",https://www.therealreal.com/products/women/handbags/satchels/chanel-cerf-tote-w-slash-strap-58
Stella McCartney Falabella Marbled Frame Clutch,750,"",https://www.therealreal.com/products/women/handbags/evening-bags/stella-mccartney-falabella-marbled-frame-clutch
Coach Leather Flap Clutch,95,"",https://www.therealreal.com/products/women/handbags/clutches/coach-leather-flap-clutch
Jimmy Choo Cheetah Ponyhair Clutch,225,"",https://www.therealreal.com/products/women/handbags/clutches/jimmy-choo-cheetah-ponyhair-clutch
Coach Patent-Trimmed Leather Satchel,150,"",https://www.therealreal.com/products/women/handbags/satchels/coach-patent-trimmed-leather-satchel
Prada Leather Frame Bag,225,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/prada-leather-frame-bag-11
Donna Karan Leather-Trimmed Tweed Bag w/ Tags,180,"",https://www.therealreal.com/products/women/handbags/totes/donna-karan-leather-trimmed-tweed-bag-w-slash-tags
Stella McCartney Falabella Crossbody Bag,530,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/stella-mccartney-falabella-crossbody-bag-26
Chopard Quilted Leather Shoulder Bag,795,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chopard-quilted-leather-shoulder-bag
Louis Vuitton Vernis Wilshire MM,930,"",https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-vernis-wilshire-mm-13
Louis Vuitton Mini Lin Josephine PM,395,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-mini-lin-josephine-pm-104
Louis Vuitton Mini Lin Josephine PM,395,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-mini-lin-josephine-pm-105
Judith Leiber Pleated Karung Crossbody Bag,130,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/judith-leiber-pleated-karung-crossbody-bag-2
Miu Miu St. Cocco Handle Bag,200,"",https://www.therealreal.com/products/women/handbags/handle-bags/miu-miu-st-cocco-handle-bag-2
Balmain Suede Embellished Leopard Bag,1425,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/balmain-suede-embellished-leopard-bag
Yves Saint Laurent Suede Shoulder Bag,180,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/yves-saint-laurent-suede-shoulder-bag-36
Givenchy Patent Nightingale Satchel,800,"",https://www.therealreal.com/products/women/handbags/satchels/givenchy-patent-nightingale-satchel-2
Louis Vuitton Suhali L&#39;Ingenieux PM,880,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-suhali-lingenieux-pm-43
Louis Vuitton Epi Marly MM,1695,"",https://www.therealreal.com/products/women/handbags/satchels/louis-vuitton-epi-marly-mm-3
Prada Tessuto Nylon Shoulder Bag,250,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/prada-tessuto-nylon-shoulder-bag-16
Proenza Schouler Medium PS1 Satchel,630,"",https://www.therealreal.com/products/women/handbags/satchels/proenza-schouler-medium-ps1-satchel-165
Gucci Medium Guccissima Sukey Tote,780,"",https://www.therealreal.com/products/women/handbags/totes/gucci-medium-guccissima-sukey-tote-19
Diane von Furstenberg Mini Sutra Zebra Patchwork Bag,150,"",https://www.therealreal.com/products/women/handbags/mini-bags/diane-von-furstenberg-mini-sutra-zebra-patchwork-bag
Chanel Timeless Wallet On Chain,1795,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/chanel-timeless-wallet-on-chain-65
Yves Saint Laurent Belle de Jour Clutch,600,"",https://www.therealreal.com/products/women/handbags/clutches/yves-saint-laurent-belle-du-jour-clutch-44
Fendi Leather Mama Forever Bag,280,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/fendi-leather-mama-forever-bag-5
Emanuel Ungaro Rosa Cipri Suede Bag,230,"",https://www.therealreal.com/products/women/handbags/mini-bags/emanuel-ungaro-rosa-cipri-suede-bag
Stella McCartney Falabella Fold-Over Clutch,580,"",https://www.therealreal.com/products/women/handbags/clutches/stella-mccartney-falabella-fold-over-clutch-9
Chanel Small Cube Boy Bag,3200,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-small-cube-boy-bag-1
Chanel Quilted Bowler Bag,750,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-quilted-bowler-bag-7
Gucci Vintage Patent Shoulder Bag,150,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/gucci-vintage-patent-shoulder-bag-1
Prada Nappa Small Shoulder Bag,380,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/prada-nappa-small-shoulder-bag
Louis Vuitton Monogram Boetie PM,945,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-monogram-boetie-pm-14
Michael Kors Fox Fur Darrington Bag,495,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/michael-kors-fox-fur-darrington-bag-1
Louis Vuitton Epi Speedy 25,545,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-epi-speedy-25-261
Louis Vuitton Damier Cubic East West Speedy Bag,1325,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-damier-cubic-east-west-speedy-bag-3
Louis Vuitton Empreinte Fascinante Bag,1395,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-empreinte-fascinante-bag-14
Prada Soft Calf Handle Bag,700,"",https://www.therealreal.com/products/women/handbags/handle-bags/prada-soft-calf-handle-bag-5
Christian Dior Street Chic Hobo,250,"",https://www.therealreal.com/products/women/handbags/hobos/christian-dior-street-chic-hobo-35
Gucci Leather Flap Shoulder Bag,500,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/gucci-leather-flap-shoulder-bag-5
Yves Saint Laurent Leather Downtown Tote,430,"",https://www.therealreal.com/products/women/handbags/totes/yves-saint-laurent-leather-downtown-tote-14
Louis Vuitton Monogram Beverly GM,995,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-monogram-beverly-gm-26
Prada Paglia & Vitello Daino Tote,225,"",https://www.therealreal.com/products/women/handbags/totes/prada-paglia-and-vitello-daino-tote-1
Louis Vuitton Multicolore Alma GM,1195,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-multicolore-alma-gm-3
VBH Python Manila Wrap Clutch,380,"",https://www.therealreal.com/products/women/handbags/clutches/vbh-python-manila-wrap-clutch-1
Chloé Python Silverado Bag,300,"",https://www.therealreal.com/products/women/handbags/handle-bags/chloe-python-silverado-bag-112
Bottega Veneta Snakeskin Flap Clutch,400,"",https://www.therealreal.com/products/women/handbags/clutches/bottega-veneta-snakeskin-flap-clutch-1
Tory Burch Thea E/W/ Clutch,150,"",https://www.therealreal.com/products/women/handbags/clutches/tory-burch-thea-e-slash-w-slash-clutch
Stella McCartney Falabella Knit Shoulder Bag,500,"",https://www.therealreal.com/products/women/handbags/clutches/stella-mccartney-falabella-knit-shoulder-bag
Gucci Guccissima Medium Britt Hobo,530,"",https://www.therealreal.com/products/women/handbags/hobos/gucci-guccissima-medium-britt-hobo-4
Prada Cinghale Frame Bag,430,"",https://www.therealreal.com/products/women/handbags/handle-bags/prada-cinghale-frame-bag
Gucci Tattoo Hearts Tribeca Messenger Bag,600,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/gucci-tattoo-hearts-tribeca-messenger-bag-2
Chanel Medium Reissue Camera Bag,1525,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-medium-reissue-camera-bag-18
Christian Dior Diorissimo Denim Saddle Bag,200,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/christian-dior-diorissimo-denim-saddle-bag-9
Saint Laurent Emmanuelle Bucket Bag,730,"",https://www.therealreal.com/products/women/handbags/bucket-bags/saint-laurent-emmanuelle-bucket-bag-14
Gucci Leather Emily Hobo,1045,"",https://www.therealreal.com/products/women/handbags/hobos/gucci-leather-emily-hobo-1
Kate Spade New York Leather Zip Hobo,130,"",https://www.therealreal.com/products/women/handbags/hobos/kate-spade-new-york-leather-zip-hobo-3
Gucci Karung-Trimmed Horsebit Clutch,230,"",https://www.therealreal.com/products/women/handbags/clutches/gucci-karung-trimmed-horsebit-clutch-4
Gucci Medium New Jackie Bag,700,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/gucci-medium-new-jackie-bag-7
Salvatore Ferragamo Leather Handle Bag,180,"",https://www.therealreal.com/products/women/handbags/handle-bags/salvatore-ferragamo-leather-handle-bag-41
Prada Tessuto Gaufre Shoulder Bag,350,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/prada-tessuto-gaufre-shoulder-bag-10
Botkier Suede Ava Hobo,125,"",https://www.therealreal.com/products/women/handbags/hobos/botkier-suede-ava-hobo
Chanel Satin Leo Lion Clutch,1025,"",https://www.therealreal.com/products/women/handbags/clutches/chanel-satin-leo-lion-clutch
Alexander McQueen Satin De Manta Clutch,330,"",https://www.therealreal.com/products/women/handbags/clutches/alexander-mcqueen-satin-de-manta-clutch-32
Bottega Veneta Intrecciato Messenger Bag,800,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/bottega-veneta-intrecciato-messenger-bag-34
Fatto a Mano by Carlos Falchi Medium Crocodile Satchel,400,"",https://www.therealreal.com/products/women/handbags/satchels/fatto-a-mano-by-carlos-falchi-medium-crocodile-satchel-1
Etro Embossed Leather Handle Bag,180,"",https://www.therealreal.com/products/women/handbags/handle-bags/etro-embossed-leather-handle-bag-10
Jimmy Choo Leather Blake Bag,330,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/jimmy-choo-leather-blake-bag-2
Fendi To You Bag,395,"",https://www.therealreal.com/products/women/handbags/handle-bags/fendi-to-you-bag-23
Dolce & Gabbana Mini Crochet & Snakeskin Shoulder Bag,530,"",https://www.therealreal.com/products/women/handbags/mini-bags/dolce-and-gabbana-mini-crochet-and-snakekin-shoulder-bag
Chanel Icons Secret Label Flap Bag,1395,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-icons-secret-label-flap-bag-7
Mansur Gavriel Small Leather Bucket Bag,480,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/mansur-gavriel-small-leather-bucket-bag
Jimmy Choo Distressed Leather Bag,180,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/jimmy-choo-distressed-leather-bag
VBH Brera Leather Bag,1025,"",https://www.therealreal.com/products/women/handbags/handle-bags/vbh-brera-leather-bag
Bottega Veneta Intrecciato Leather Handle Bag,895,"",https://www.therealreal.com/products/women/handbags/handle-bags/bottega-veneta-intrecciato-leather-handle-bag-35
Burberry Haymarket Check Peyton Bag,425,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/burberry-haymarket-check-peyton-bag
Lanvin Leather Kentucky Satchel,245,"",https://www.therealreal.com/products/women/handbags/satchels/lanvin-leather-kentucky-satchel-2
Mayle Leather Flap Bag,95,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/mayle-leather-flap-bag-1
Bottega Veneta Patent Leather Handle Bag,395,"",https://www.therealreal.com/products/women/handbags/handle-bags/bottega-veneta-patent-leather-handle-bag-1
Chloé Leather Messenger Bag,250,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/chloe-leather-messenger-bag-4
Michael Michael Kors Leather Cynthia Bag,180,"",https://www.therealreal.com/products/women/handbags/satchels/michael-michael-kors-leather-cynthia-bag
Fendi Pequin Simply Shopping Tote,400,"",https://www.therealreal.com/products/women/handbags/totes/fendi-pequin-simply-shopping-tote
Miu Miu Suede Fringe-Trimmed Crossbody,300,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/miu-miu-suede-fringe-trimmed-crossbody
Rebecca Minkoff Striped Raffia Tote,90,"",https://www.therealreal.com/products/women/handbags/totes/rebecca-minkoff-striped-raffia-tote
Marni 2017 Small Bucket Bag,995,"",https://www.therealreal.com/products/women/handbags/bucket-bags/marni-small-bucket-bag
Louis Vuitton Mini Pleaty Bag,330,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-mini-pleaty-bag-45
Coach Grained Leather Tote,175,"",https://www.therealreal.com/products/women/handbags/totes/coach-grained-leather-tote-1
Gucci Suede Heart Bag,200,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/gucci-suede-heart-bag
Chanel Ligne Cambon Pochette,525,"",https://www.therealreal.com/products/women/handbags/handle-bags/chanel-ligne-cambon-pochette-105
